//,prefix,name,class,checksw,sprite gr.,sprite sn.gr.,sprite c1,sprite c2,sprite,sprite des/sn,offset,size z,size xy,specterrain,minyear,maxyear,popul.,mail,probab,life,str. Name,c1a,c2a,c3a,rating,cost,flags,availability,zone,colour,c1,c2,c3,replace,building id,
TOWNBUILDING1(,BASETROP, HOUSES_2,CLASS_TROPIC,sametypenearby3_max_switch,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_DESERT_1_2,4588,4589,4590,4590,0,16,16,TILETYPE_DESERT,1900, MAX_YEAR,16,6,10,10, STR_TOWN_BUILDING_NAME_HOUSES_2,3,1,2,80,80, , bitmask(CLIMATE_TROPICAL),  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS, MAIL,FOOD, 0x4E  ,0,)
TOWNBUILDING1(,BASETROP, HOUSES_2b,CLASS_TROPIC,sametypenearby3_max_switch,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_DESERT_1_2,4591,4592,4593,4593,0,16,16,TILETYPE_DESERT,1900, MAX_YEAR,16,6,10,10, STR_TOWN_BUILDING_NAME_HOUSES_2,3,1,2,80,80, ,bitmask(CLIMATE_TROPICAL),  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS, MAIL,FOOD, 0x4F  ,1,)
TOWNBUILDING1(,BASETROP, HOUSES_2c,CLASS_TROPIC,nearby_road_switch() && no_desert_switch(),GROUNDSPRITE_CONCRETE,GROUNDSPRITE_DESERT_1_2,4594,4595,4596,4596,0,16,16,TILETYPE_DESERT,1880,2000,10,4,10,0, STR_TOWN_BUILDING_NAME_HOUSES_2,2,1,2,70,70, ,bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT | TOWNZONE_EDGE),RECOLOUR_N, PASS, MAIL,FOOD, 0x50  ,2,)
HOUSELAYOUT1(,BASETROP, HOUSES_EDGE_1_V2,,,spriteset_slumsold_white_gnd(1),spriteset_slumsold_white_gnd(1),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_slumsold_white(1),spriteset_slumsold_white(1),0,16,16,TILETYPE_DESERT,1975, MAX_YEAR,7,4,10,0,,3,1,3,30,30, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_EDGE),RECOLOUR_N, PASS, MAIL,GOOD, 0x51  ,,)
HOUSELAYOUT1(,BASETROP, HOUSES_EDGE_1_V3,,,spriteset_slums_metal_gnd(4),spriteset_slums_metal_gnd(4),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_slums_metal(4),spriteset_slums_metal(4),0,16,16,TILETYPE_DESERT,1975, MAX_YEAR,7,4,10,0,,3,1,3,30,30, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_EDGE),RECOLOUR_N, PASS, MAIL,GOOD, 0x51  ,,)
HOUSELAYOUT1(,BASETROP, HOUSES_EDGE_1_V4,,,spriteset_slums_wood_gnd(4),spriteset_slums_wood_gnd(4),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_slums_wood(4),spriteset_slums_wood(4),0,16,16,TILETYPE_DESERT,1975, MAX_YEAR,7,4,10,0,,3,1,3,30,30, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_EDGE),RECOLOUR_N, PASS, MAIL,GOOD, 0x51  ,,)
TOWNBUILDINGV4(,BASETROP, HOUSES_EDGE_1,CLASS_SLUMS,noresidentials_nearby_switch,spriteset_slumsold_gnd(1),spriteset_slumsold_gnd(1),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_slumsold(1),spriteset_slumsold(1),0,16,16,TILETYPE_DESERT,1975, MAX_YEAR,7,4,10,0, STR_TOWN_BUILDING_NAME_SHANTY_SHACKS_AND_SHOPS_1,3,1,3,30,30,HOUSE_FLAG_NOT_SLOPED, bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_EDGE),RECOLOUR_N, PASS, MAIL,GOOD, 0x51  ,6,)
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNBUILDING1(,BASETROP, FLATS_1,CLASS_TROPIC_FLATS,sameclassnearby2_switch,4601,4601,4601,4602,4603,4602,0,96,16,TILETYPE_DESERT,1952,2020,50,15,5,15, STR_TOWN_BUILDING_NAME_FLATS_1,6,2,1,95,130, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS, MAIL,GOOD, 0x52  ,8,)
TOWNBUILDING1(,BASETROP, CHURCH_1,CLASS_TROPIC,desert_only_switch,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,4604,4604,0,32,16,TILETYPE_DESERT,1800, MAX_YEAR,8,3,1,10, STR_TOWN_BUILDING_NAME_CHURCH_1,7,1,0,200,90,HOUSE_FLAG_CHURCH,bitmask(CLIMATE_TROPICAL),  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS, MAIL,GOOD,0x53,9,)
